gene_callers_id	detection
231968	DETECTED
231969	NOT DETECTED
231970	NOT DETECTED
231971	NOT DETECTED
231972	DETECTED
231973	DETECTED
231974	DETECTED
231975	DETECTED
231976	DETECTED
231977	DETECTED
231978	DETECTED
231979	DETECTED
231980	DETECTED
231981	DETECTED
231982	DETECTED
231983	DETECTED
231984	DETECTED
231985	DETECTED
231986	DETECTED
231987	DETECTED
231988	DETECTED
231989	DETECTED
231990	DETECTED
231991	DETECTED
231992	DETECTED
231993	DETECTED
231994	DETECTED
231995	DETECTED
231996	DETECTED
231997	DETECTED
231998	DETECTED
231999	DETECTED
232000	DETECTED
232001	DETECTED
232002	DETECTED
232003	DETECTED
232004	DETECTED
232005	DETECTED
232006	DETECTED
232007	DETECTED
232008	DETECTED
232009	DETECTED
232010	DETECTED
232011	DETECTED
232012	DETECTED
232013	DETECTED
232014	DETECTED
232015	DETECTED
232016	DETECTED
232017	DETECTED
232018	DETECTED
232019	DETECTED
232020	DETECTED
232021	DETECTED
232022	DETECTED
232023	DETECTED
232024	DETECTED
232025	DETECTED
232026	DETECTED
232027	DETECTED
232028	DETECTED
232029	DETECTED
232030	DETECTED
232031	DETECTED
232032	DETECTED
232033	DETECTED
232034	DETECTED
232035	DETECTED
232036	DETECTED
232037	DETECTED
232038	DETECTED
232039	DETECTED
232040	DETECTED
232041	DETECTED
232042	DETECTED
232043	DETECTED
232044	DETECTED
232045	DETECTED
232046	DETECTED
232047	DETECTED
232048	DETECTED
232049	DETECTED
232050	DETECTED
232051	DETECTED
232052	DETECTED
232053	DETECTED
232054	DETECTED
232055	DETECTED
232056	DETECTED
232057	DETECTED
232058	DETECTED
232059	DETECTED
232060	DETECTED
232061	DETECTED
232062	DETECTED
232063	DETECTED
232064	DETECTED
232065	DETECTED
232066	DETECTED
232067	DETECTED
232068	DETECTED
232069	DETECTED
232070	DETECTED
232071	DETECTED
232072	DETECTED
232073	DETECTED
232074	DETECTED
232075	DETECTED
232076	DETECTED
232077	DETECTED
232078	DETECTED
232079	DETECTED
232080	DETECTED
232081	DETECTED
232082	DETECTED
232083	DETECTED
232084	DETECTED
232085	DETECTED
232086	DETECTED
232087	DETECTED
232088	DETECTED
232089	DETECTED
232090	DETECTED
232091	DETECTED
232092	DETECTED
232093	DETECTED
232094	DETECTED
232095	DETECTED
232096	DETECTED
232097	DETECTED
232098	DETECTED
232099	DETECTED
232100	DETECTED
232101	DETECTED
232102	DETECTED
232103	DETECTED
232104	DETECTED
232105	DETECTED
232106	DETECTED
232107	DETECTED
232108	DETECTED
232109	DETECTED
232110	DETECTED
232111	DETECTED
232112	DETECTED
232113	DETECTED
232114	DETECTED
232115	DETECTED
232116	DETECTED
232117	DETECTED
232118	DETECTED
232119	DETECTED
232120	DETECTED
232121	DETECTED
232122	DETECTED
232123	DETECTED
232124	DETECTED
232125	DETECTED
232126	DETECTED
232127	DETECTED
232128	DETECTED
232129	DETECTED
232130	DETECTED
232131	DETECTED
232132	DETECTED
232133	DETECTED
232134	DETECTED
232135	DETECTED
232136	DETECTED
232137	DETECTED
232138	DETECTED
232139	DETECTED
232140	DETECTED
232141	DETECTED
232142	DETECTED
232143	DETECTED
232144	DETECTED
232145	DETECTED
232146	DETECTED
232147	DETECTED
232148	DETECTED
232149	DETECTED
232150	DETECTED
232151	DETECTED
232152	DETECTED
232153	DETECTED
232154	DETECTED
232155	DETECTED
232156	DETECTED
232157	DETECTED
232158	DETECTED
232159	DETECTED
232160	DETECTED
232161	DETECTED
232162	DETECTED
232163	DETECTED
232164	DETECTED
232165	DETECTED
232166	DETECTED
232167	DETECTED
232168	DETECTED
232169	DETECTED
232170	DETECTED
232171	DETECTED
232172	DETECTED
232173	DETECTED
232174	DETECTED
232175	DETECTED
232176	DETECTED
232177	DETECTED
232178	DETECTED
232179	DETECTED
232180	DETECTED
